snr_dB,p_fa,p_md
10.0,6.868103588995308e-5,0.7423453360399197
10.0,6.94771254846024e-5,0.7414249404433769
10.0,7.028244264308353e-5,0.7405022275557257
10.0,7.109709432312438e-5,0.7395771971241567
10.0,7.192118872221193e-5,0.738649848933737
10.0,7.275483529196232e-5,0.7377201828084397
10.0,7.35981447526577e-5,0.736788198610847
10.0,7.445122910795144e-5,0.7358538962420635
10.0,7.531420165974376e-5,0.7349172756430297
10.0,7.618717702322999e-5,0.7339783367935879
10.0,7.707027114212303e-5,0.7330370797131996
10.0,7.796360130405237e-5,0.7320935044613691
10.0,7.886728615614156e-5,0.7311476111375306
10.0,7.978144572076629e-5,0.7301993998812708
10.0,8.070620141149508e-5,0.7292488708726105
10.0,8.164167604921472e-5,0.7282960243325951
10.0,8.258799387844272e-5,0.7273408605227042
10.0,8.354528058382871e-5,0.7263833797457144
10.0,8.451366330684722e-5,0.7254235823459494
10.0,8.549327066268385e-5,0.7244614687090642
10.0,8.648423275731727e-5,0.7234970392623651
10.0,8.748668120479915e-5,0.7225302944755286
10.0,8.850074914473439e-5,0.7215612348602177
10.0,8.952657125996401e-5,0.7205898609703357
10.0,9.056428379445294e-5,0.719616173402683
10.0,9.161402457138522e-5,0.7186401727970564
10.0,9.267593301146883e-5,0.7176618598359433
10.0,9.375015015145289e-5,0.7166812352453376
10.0,9.483681866285928e-5,0.715698299794822
10.0,9.593608287093147e-5,0.7147130542975534
10.0,9.704808877380307e-5,0.7137254996108423
10.0,9.817298406188841e-5,0.7127356366358484
10.0,9.9310918137498e-5,0.7117434663184504
10.0,0.00010046204213468131,0.7107489896490444
10.0,0.00010162650893929952,0.7097522076626486
10.0,0.00010280447320933097,0.7087531214395922
10.0,0.00010399609139541203,0.7077517321052532
10.0,0.00010520152176161591,0.706748040830671
10.0,0.00010642092440647246,0.7057420488324185
10.0,0.00010765446128423159,0.7047337573730528
10.0,0.00010890229622637306,0.7037231677612188
10.0,0.0001101645949633657,0.7027102813519516
10.0,0.00011144152514667881,0.7016950995468261
10.0,0.00011273325637104872,0.7006776237940515
10.0,0.00011403996019700331,0.6996578555891091
10.0,0.00011536181017364785,0.6986357964743803
10.0,0.00011669898186171475,0.6976114480399348
10.0,0.00011805165285688056,0.6965848119233145
10.0,0.00011942000281335325,0.6955558898097955
10.0,0.00012080421346773289,0.6945246834330921
10.0,0.00012220446866314887,0.6934911945747746
10.0,0.00012362095437367691,0.6924554250652206
10.0,0.00012505385872903913,0.6914173767832937
