AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.0,3.75,15,250,0.9885999999999998,0.988,0.0008067893720848658,power_allocated,18.474245071411133,100.0,2.87,24715,0.0,25000,0.0,100
0.0,4.0,15,250,0.9513999999999999,0.964,0.003662697576289029,power_allocated,18.3909809589386,100.0,12.35,23785,0.0,25000,0.0,100
0.01,4.25,15,250,0.36764,0.286,0.021680440936289076,power_allocated,28.709938764572144,99.96,159.41,9191,0.0,25000,0.0,100
0.84,4.5,15,250,0.11780000000000002,0.108,0.004865670300662333,power_allocated,7.946203947067261,81.8,222.58,2945,0.0,25000,0.0,100
0.9,4.75,15,250,0.05131999999999999,0.048,0.00248473643501985,power_allocated,13.093767642974854,55.48,239.44,1283,0.02,25000,0.0,100
0.9,5.0,15,250,0.024440000000000003,0.024,0.001274958505959779,power_allocated,23.506189584732056,44.38,246.19,611,0.07,25000,0.0,100
0.9,4.875,15,250,0.03416,0.032,0.0016686485186485135,power_allocated,7.944073915481567,49.09,243.69,854,0.05,25000,0.0,100
0.9,4.8125,15,250,0.04156,0.04,0.0018324967788360346,power_allocated,22.916186809539795,51.96,241.86,1039,0.04,25000,0.0,100
0.9,4.78125,15,250,0.046159999999999986,0.044,0.0020407326868039084,power_allocated,13.223381519317627,53.65,240.72,1154,0.03,25000,0.0,100
0.89,2.0,15,300,0.9999666666666667,1.0,3.3333333333333e-05,flat,17.005206823349,40.46,0.06,29999,0.0,30000,0.0,100
0.89,2.25,15,300,0.9999666666666667,1.0,3.3333333333333e-05,flat,22.004511833190918,42.88,0.07,29999,0.0,30000,0.0,100
0.88,2.5,15,300,0.9999000000000001,1.0,5.7148869332587845e-05,flat,7.99876856803894,45.68,0.1,29997,0.0,30000,0.0,100
0.88,2.75,15,300,0.9999000000000001,1.0,5.7148869332587845e-05,flat,13.221529722213745,48.72,0.06,29997,0.0,30000,0.0,100
0.88,3.0,15,300,0.9997666666666666,1.0,8.547746665874673e-05,flat,6.866515636444092,52.45,0.1,29993,0.0,30000,0.0,100
0.88,3.25,15,300,0.9997,1.0,9.587449708821947e-05,flat,16.826276302337646,57.19,0.15,29991,0.0,30000,0.0,100
0.88,3.5,15,300,0.9997,1.0,9.587449708821949e-05,flat,22.635622262954712,63.26,0.17,29991,0.0,30000,0.0,100
0.88,3.75,15,300,0.9995333333333334,1.0,0.00011624502933992447,flat,18.042704105377197,71.55,0.24,29986,0.0,30000,0.0,100
0.85,4.0,15,300,0.9994,1.0,0.00012870763988845506,flat,18.998156785964966,83.6,0.28,29982,0.0,30000,0.0,100
0.42,4.25,15,300,0.9990333333333333,1.0,0.00019125082982882215,flat,18.531902313232422,96.72,0.37,29971,0.0,30000,0.0,100
0.01,4.5,15,300,0.9982666666666666,1.0,0.0002615674070244768,flat,14.314823389053345,99.91,0.59,29948,0.0,30000,0.0,100
0.0,4.75,15,300,0.9960333333333334,0.9966666666666667,0.0004411366809371423,flat,14.122058629989624,100.0,1.24,29881,0.0,30000,0.0,100
0.16,5.0,15,300,0.7572666666666666,0.9883333333333333,0.041459251559125776,flat,23.227844715118408,96.62,73.6,22718,0.03,30000,0.0,100
0.85,5.25,15,300,0.05313333333333334,0.013333333333333334,0.018961466034140416,flat,8.852827787399292,64.63,287.58,1594,0.5,30000,0.0,100
0.89,5.5,15,300,0.012833333333333337,0.01,0.0007556372504853025,flat,17.84160304069519,47.97,299.78,385,0.8,30000,0.0,100
0.89,5.375,15,300,0.013633333333333336,0.013333333333333334,0.0007522431848831484,flat,17.662018060684204,53.88,299.58,409,0.74,30000,0.0,100
0.89,5.3125,15,300,0.014100000000000001,0.013333333333333334,0.0007637332256456482,flat,17.530623197555542,58.14,299.47,423,0.64,30000,0.0,100
0.89,5.28125,15,300,0.014433333333333331,0.013333333333333334,0.0007431769701616673,flat,13.507023811340332,61.2,299.37,433,0.61,30000,0.0,100
0.89,2.0,15,300,1.0,1.0,0.0,power_allocated,18.458133697509766,40.65,0.07,30000,0.0,30000,0.0,100
0.89,2.25,15,300,0.9998666666666667,1.0,6.564879518897678e-05,power_allocated,18.14672350883484,43.03,0.08,29996,0.0,30000,0.0,100
0.88,2.5,15,300,0.9998666666666667,1.0,6.564879518897678e-05,power_allocated,12.086966037750244,45.82,0.06,29996,0.0,30000,0.0,100
0.88,2.75,15,300,0.9998,1.0,7.956108552531321e-05,power_allocated,21.532275676727295,48.95,0.08,29994,0.0,30000,0.0,100
0.88,3.0,15,300,0.9997666666666666,1.0,8.54774666587467e-05,power_allocated,26.79074764251709,52.81,0.1,29993,0.0,30000,0.0,100
0.89,3.25,15,300,0.9997333333333333,1.0,9.088664144809598e-05,power_allocated,13.254943370819092,57.04,0.12,29992,0.0,30000,0.0,100
0.88,3.5,15,300,0.9995666666666666,1.0,0.00011266588966320921,power_allocated,12.166892528533936,63.68,0.18,29987,0.0,30000,0.0,100
0.88,3.75,15,300,0.9994666666666666,1.0,0.00012281764972582227,power_allocated,17.415874481201172,72.18,0.22,29984,0.0,30000,0.0,100
