curve_type,source_file,remainder_allocation,J,Ka,alpha,rate,reliable,cap_hit_fraction,pupe,total_parity,effective_information_bits
entropy_bound,analytic,,12,948.4646233994542,1.2134142761841227,0.2645759396965693,true,,,,
entropy_bound,analytic,,12,936.0634573406599,1.2157484989993328,0.26636989195536215,true,,,,
entropy_bound,analytic,,12,923.8710370748626,1.218082721814543,0.2681568920084799,true,,,,
entropy_bound,analytic,,12,911.8831576777842,1.220416944629753,0.2699369477019983,true,,,,
entropy_bound,analytic,,12,900.0957118867472,1.2227511674449631,0.2717100680715073,true,,,,
entropy_bound,analytic,,12,888.5046875463869,1.2250853902601733,0.27347626329179014,true,,,,
entropy_bound,analytic,,12,877.1061651283516,1.2274196130753836,0.27523554462817057,true,,,,
entropy_bound,analytic,,12,865.8963153226626,1.2297538358905937,0.27698792438948105,true,,,,
entropy_bound,analytic,,12,854.8713966984584,1.2320880587058038,0.2787334158826028,true,,,,
entropy_bound,analytic,,12,844.0277534319465,1.234422281521014,0.2804720333685327,true,,,,
entropy_bound,analytic,,12,833.361813099437,1.236756504336224,0.2822037920199334,true,,,,
entropy_bound,analytic,,12,822.8700845334275,1.2390907271514342,0.28392870788012126,true,,,,
entropy_bound,analytic,,12,812.5491557397665,1.2414249499666443,0.28564679782345026,true,,,,
entropy_bound,analytic,,12,802.3956918739823,1.2437591727818544,0.2873580795170498,true,,,,
entropy_bound,analytic,,12,792.4064332749499,1.2460933955970646,0.28906257138387575,true,,,,
entropy_bound,analytic,,12,782.5781935541115,1.2484276184122747,0.2907602925670346,true,,,,
entropy_bound,analytic,,12,772.9078577385267,1.2507618412274848,0.2924512628953426,true,,,,
entropy_bound,analytic,,12,763.3923804661014,1.253096064042695,0.294135502850082,true,,,,
entropy_bound,analytic,,12,754.0287842313895,1.2554302868579053,0.29581303353291605,true,,,,
entropy_bound,analytic,,12,744.8141576804104,1.2577645096731154,0.29748387663492876,true,,,,
entropy_bound,analytic,,12,735.7456539529771,1.2600987324883255,0.29914805440675474,true,,,,
entropy_bound,analytic,,12,726.8204890711031,1.2624329553035356,0.3008055896297631,true,,,,
entropy_bound,analytic,,12,718.0359403720709,1.2647671781187457,0.3024565055882631,true,,,,
entropy_bound,analytic,,12,709.3893449848108,1.2671014009339558,0.30410082604270006,true,,,,
entropy_bound,analytic,,12,700.8780983482734,1.269435623749166,0.3057385752038106,true,,,,
entropy_bound,analytic,,12,692.4996527705429,1.271769846564376,0.3073697777077044,true,,,,
entropy_bound,analytic,,12,684.251516027443,1.2741040693795864,0.3089944585918457,true,,,,
entropy_bound,analytic,,12,676.1312499994704,1.2764382921947965,0.31061264327190286,true,,,,
entropy_bound,analytic,,12,668.1364693458856,1.2787725150100067,0.31222435751944233,true,,,,
entropy_bound,analytic,,12,660.2648402148759,1.2811067378252168,0.3138296274404344,true,,,,
entropy_bound,analytic,,12,652.5140789886934,1.283440960640427,0.31542847945454827,true,,,,
entropy_bound,analytic,,12,644.8819510627393,1.285775183455637,0.31702094027521055,true,,,,
entropy_bound,analytic,,12,637.3662696575875,1.2881094062708471,0.31860703689040015,true,,,,
entropy_bound,analytic,,12,629.9648946629738,1.2904436290860573,0.3201867965441575,true,,,,
entropy_bound,analytic,,12,622.6757315128026,1.2927778519012674,0.32176024671878356,true,,,,
entropy_bound,analytic,,12,615.4967300902634,1.2951120747164775,0.32332741511770785,true,,,,
entropy_bound,analytic,,12,608.4258836621773,1.2974462975316876,0.32488832964899905,true,,,,
entropy_bound,analytic,,12,601.4612278417106,1.2997805203468977,0.3264430184095023,true,,,,
entropy_bound,analytic,,12,594.6008395786284,1.3021147431621078,0.3279915096695793,true,,,,
entropy_bound,analytic,,12,587.8428361762922,1.3044489659773182,0.3295338318584309,true,,,,
entropy_bound,analytic,,12,581.1853743346236,1.3067831887925283,0.3310700135499839,true,,,,
entropy_bound,analytic,,12,574.6266492182714,1.3091174116077384,0.33260008344932374,true,,,,
entropy_bound,analytic,,12,568.1648935492752,1.3114516344229485,0.3341240703796519,true,,,,
entropy_bound,analytic,,12,561.7983767234932,1.3137858572381587,0.33564200326975463,true,,,,
entropy_bound,analytic,,12,555.5254039501352,1.3161200800533688,0.3371539111419613,true,,,,
entropy_bound,analytic,,12,549.3443154137252,1.318454302868579,0.3386598231005788,true,,,,
entropy_bound,analytic,,12,543.2534854578513,1.3207885256837892,0.34015976832078537,true,,,,
