S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
1.152008032128514214e+00,-7.400000000001121236e-01,9.785586751781240045e-01,6.602020346315616450e+01,3.019919935742972302e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.161847389558233079e+00,-7.400000000001121236e-01,9.783491151788389351e-01,6.600606512465743947e+01,3.045713220883534450e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.171686746987951944e+00,-7.400000000001121236e-01,9.781391277819851959e-01,6.599189795102070377e+01,3.071506506024096598e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.181526104417670808e+00,-7.400000000001121236e-01,9.779287250540247278e-01,6.597770275633129700e+01,3.097299791164659109e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.191365461847389673e+00,-7.400000000001121236e-01,9.777177352921412323e-01,6.596346795635299998e+01,3.123093076305221257e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.201204819277108538e+00,-7.400000000001121236e-01,9.775063226608426969e-01,6.594920462673664474e+01,3.148886361445783405e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.211044176706827402e+00,-7.400000000001121236e-01,9.772943902600474964e-01,6.593490622994568184e+01,3.174679646586345552e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.220883534136546489e+00,-7.400000000001121236e-01,9.770821236654143593e-01,6.592058528617236846e+01,3.200472931726908428e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.230722891566265353e+00,-7.400000000001121236e-01,9.768691444333138518e-01,6.590621626304339031e+01,3.226266216867470575e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.240562248995984218e+00,-7.300000000001123368e-01,9.770045705012841974e-01,6.606730360557031645e+01,3.252059502008032723e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
