S_in,E_optimal_asymptotic_dB,E_amp_asymptotic_dB
2.959839357429719375e-01,-4.148931216855464399e+00,-3.604840140499149470e+00
3.058232931726908022e-01,-4.133607069830197212e+00,-3.567414696738298474e+00
3.156626506024096668e-01,-4.118266126561092477e+00,-3.529663932722685971e+00
3.255020080321285314e-01,-4.102908389511962461e+00,-3.491582143137273331e+00
3.353413654618473960e-01,-4.087533861224032172e+00,-3.453163471252589822e+00
3.451807228915663162e-01,-4.072142544315878077e+00,-3.414401903518990089e+00
3.550200803212851808e-01,-4.056734441483376585e+00,-3.375291263917488127e+00
3.648594377510040454e-01,-4.041309555499647210e+00,-3.335825208053910806e+00
3.746987951807229100e-01,-4.025867889214987727e+00,-3.295997216982224920e+00
3.845381526104417746e-01,-4.010409445556805785e+00,-3.255800590742029321e+00
3.943775100401606948e-01,-3.994934227529564730e+00,-3.215228441594142339e+00
4.042168674698795594e-01,-3.979442238214716099e+00,-3.174273686937261196e+00
4.140562248995984240e-01,-3.963933480770626794e+00,-3.132929041887414279e+00
4.238955823293172887e-01,-3.948407958432508025e+00,-3.091187011500811543e+00
4.337349397590362088e-01,-3.932865674512350473e+00,-3.049039882619289266e+00
4.435742971887550734e-01,-3.917306632398849686e+00,-3.006479715316179746e+00
4.534136546184739380e-01,-3.901730835557331467e+00,-2.963498333918871630e+00
4.632530120481928027e-01,-3.886138287529672830e+00,-2.920087317582663822e+00
4.730923694779116673e-01,-3.870528991934227836e+00,-2.876237990388741395e+00
4.829317269076305874e-01,-3.854902952465747212e+00,-2.831941410937146131e+00
4.927710843373494520e-01,-3.839260172895301082e+00,-2.787188361403503567e+00
5.026104417670683722e-01,-3.823600657070183484e+00,-2.741969336026024884e+00
5.124497991967872368e-01,-3.807924408913843095e+00,-2.696274528986801755e+00
5.222891566265061014e-01,-3.792231432425792192e+00,-2.650093821648747294e+00
5.321285140562249660e-01,-3.776521731681516503e+00,-2.603416769106634110e+00
5.419678714859438307e-01,-3.760795310832385496e+00,-2.556232586007514129e+00
5.518072289156628063e-01,-3.745052174105564013e+00,-2.508530131592363155e+00
5.616465863453816709e-01,-3.729292325803927444e+00,-2.460297893907056110e+00
5.714859437751005355e-01,-3.713515770305949815e+00,-2.411523973126692422e+00
5.813253012048194002e-01,-3.697722512065622080e+00,-2.362196063932853640e+00
5.911646586345382648e-01,-3.681912555612352200e+00,-2.312301436878488214e+00
6.010040160642571294e-01,-3.666085905550866109e+00,-2.261826918669842978e+00
6.108433734939759940e-01,-3.650242566561100688e+00,-2.210758871289014493e+00
6.206827309236948587e-01,-3.634382543398117171e+00,-2.159083169874354446e+00
6.305220883534137233e-01,-3.618505840891979020e+00,-2.106785179268966690e+00
6.403614457831326989e-01,-3.602612463947660437e+00,-2.053849729139884062e+00
6.502008032128515636e-01,-3.586702417544933130e+00,-2.000261087562110518e+00
6.600401606425704282e-01,-3.570775706738262834e+00,-1.946002932952415332e+00
