eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
5.647353063776573701e-02,-1.220000635227584240e+01,-1.078206920294478088e+01,-8.418161271885230335e+00,-1.147196052652930476e+01,5.196181865738406236e-01,5.885151970230125817e-01,7.280666407530049788e-01,5.597467544348970758e-01
5.683618174239266074e-02,-1.208735820054882026e+01,-1.067022633694986133e+01,-8.310483554204637358e+00,-1.136026923677910361e+01,5.152142667820612809e-01,5.846253476858496168e-01,7.250333099904584522e-01,5.556066877625174261e-01
5.719883284701959142e-02,-1.197614770561610165e+01,-1.055983390670911781e+01,-8.204310650842520758e+00,-1.125002853236842526e+01,5.108509382830275225e-01,5.807757952865200135e-01,7.220387558098850800e-01,5.515068630315547171e-01
5.756148395164652209e-02,-1.186634784284959032e+01,-1.045086498973923206e+01,-8.099615657426774362e+00,-1.114121141181974650e+01,5.065276846091706364e-01,5.769660187046294908e-01,7.190824373671600434e-01,5.474467590816916029e-01
5.792413505627344583e-02,-1.175793226589524920e+01,-1.034329334318728222e+01,-7.996372326131185204e+00,-1.103379154774669857e+01,5.022439989704445829e-01,5.731955064600180449e-01,7.161638234560105953e-01,5.434258644224955193e-01
5.828678616090037651e-02,-1.165087528556874652e+01,-1.023709337375593620e+01,-7.894555084548571244e+00,-1.092774327344579888e+01,4.979993840121758053e-01,5.694637564717436318e-01,7.132823922664959237e-01,5.394436769913913965e-01
5.864943726552730718e-02,-1.154515184953376306e+01,-1.013224012365874316e+01,-7.794138976552995146e+00,-1.082304155510226451e+01,4.937933515804252549e-01,5.657702758250677810e-01,7.104376311507896169e-01,5.354997039191036201e-01
5.901208837015423092e-02,-1.144073752259306431e+01,-1.002870925111224309e+01,-7.695099625682550126e+00,-1.071966196882604372e+01,4.896254224946082756e-01,5.621145805445235677e-01,7.076290364063242411e-01,5.315934613043020729e-01
5.937473947478115466e-02,-1.133760846679590628e+01,-9.926477012740338779e+00,-7.597413275588655424e+00,-1.061758069237568591e+01,4.854951263272951900e-01,5.584961953737125340e-01,7.048561130582404743e-01,5.277244739939133122e-01
5.973739057940809227e-02,-1.123574142537219345e+01,-9.825520251171512953e+00,-7.501056739206681812e+00,-1.051677448240014456e+01,4.814020011905326690e-01,5.549146535605395947e-01,7.021183746437194007e-01,5.238922753690581358e-01
6.010004168403501601e-02,-1.113511370460545535e+01,-9.725816363724151259e+00,-7.406007348682253522e+00,-1.041722065016168486e+01,4.773455935283650309e-01,5.513694966503772665e-01,6.994153430146108352e-01,5.200964071395189903e-01
6.046269278866193975e-02,-1.103570315663604973e+01,-9.627343290736037673e+00,-7.312242997336783290e+00,-1.031889705572845273e+01,4.733254579157597508e-01,5.478602742870215536e-01,6.967465481415311412e-01,5.163364191436614625e-01
6.082534389328887042e-02,-1.093748816318288419e+01,-9.530079500750019861e+00,-7.219742106652990543e+00,-1.022178208847432401e+01,4.693411568636041142e-01,5.443865440184527671e-01,6.941115279163390106e-01,5.126118691529452098e-01
6.118799499791580110e-02,-1.084044761984376137e+01,-9.434003974842495310e+00,-7.128483572375095889e+00,-1.012585464402528679e+01,4.653922606294996767e-01,5.409478711081223690e-01,6.915098279703710826e-01,5.089223226841509407e-01
6.155064610254272484e-02,-1.074456092095035586e+01,-9.339096198012530436e+00,-7.038446788265407150e+00,-1.003109411660340555e+01,4.614783470341493610e-01,5.375438283506435155e-01,6.889410014981415253e-01,5.052673528171758299e-01
