S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
1.338955823293172864e+00,-1.120000000000104023e+00,9.772427795670253214e-01,7.550965226963813848e+01,8.985580424738957081e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.348795180722891729e+00,-1.115000000000104130e+00,9.772596101733516116e-01,7.559793799811137660e+01,9.051611234698796179e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.358634538152610594e+00,-1.115000000000104130e+00,9.770612896830671579e-01,7.558259650648294325e+01,9.117642044658635277e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.368473895582329458e+00,-1.115000000000104130e+00,9.768624375100497526e-01,7.556721388543724061e+01,9.183672854618474375e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.378313253012048323e+00,-1.115000000000104130e+00,9.766631254495764525e-01,7.555179568884641128e+01,9.249703664578314638e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.388152610441767187e+00,-1.115000000000104130e+00,9.764636743255340479e-01,7.553636673470562357e+01,9.315734474538153736e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.397991967871486052e+00,-1.115000000000104130e+00,9.762633952314233587e-01,7.552087373122806468e+01,9.381765284497992834e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.407831325301205139e+00,-1.115000000000104130e+00,9.760626551745738011e-01,7.550534506902461374e+01,9.447796094457833096e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.417670682730924003e+00,-1.110000000000104237e+00,9.760903891120172871e-01,7.559447175694349141e+01,9.513826904417672195e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.427510040160642868e+00,-1.110000000000104237e+00,9.758903866377534042e-01,7.557898232936514660e+01,9.579857714377512457e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.437349397590361733e+00,-1.110000000000104237e+00,9.756894344992598223e-01,7.556341935392015330e+01,9.645888524337351555e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
