P_FA,P_MD_exact,P_MD_OR
2.734473679737579876e-03,3.377689122808583688e-01,3.503976576790610586e-01
2.798296875655115722e-03,3.350918338817380771e-01,3.476206305691464937e-01
2.863609718508115885e-03,3.324166018177629467e-01,3.448455140282237208e-01
2.930446976972141387e-03,3.297433584364681813e-01,3.420724558253439573e-01
2.998844231231027890e-03,3.270722467038809644e-01,3.393016043697281714e-01
3.068837891917642214e-03,3.244034101886391630e-01,3.365331086943054717e-01
3.140465219496752208e-03,3.217369930458044425e-01,3.337671184389333634e-01
3.213764344100275647e-03,3.190731400003652407e-01,3.310037838332982041e-01
3.288774285825509913e-03,3.164119963304362071e-01,3.282432556794986356e-01
3.365534975507094261e-03,3.137537078501448917e-01,3.254856853343058853e-01
3.444087275973819941e-03,3.110984208922125127e-01,3.227312246911067106e-01
3.524473003801584237e-03,3.084462822902223067e-01,3.199800261615214358e-01
3.606734951574027803e-03,3.057974393605808472e-01,3.172322426567045217e-01
3.690916910662778508e-03,3.031520398841679453e-01,3.144880275683207271e-01
3.777063694539364597e-03,3.005102320876762989e-01,3.117475347492010274e-01
3.865221162631261604e-03,2.978721646246412225e-01,3.090109184936754572e-01
3.955436244734701796e-03,2.952379865561591266e-01,3.062783335175842114e-01
4.047756965997322508e-03,2.926078473312971329e-01,3.035499349379680023e-01
4.142232472483894055e-03,2.899818967671919934e-01,3.008258782524353414e-01
4.238913057338779093e-03,2.873602850288387023e-01,2.981063193182089677e-01
4.337850187558989039e-03,2.847431626085701883e-01,2.953914143308514761e-01
4.439096531392166395e-03,2.821306803052282541e-01,2.926813198026699259e-01
4.542705986374042521e-03,2.795229892030249852e-01,2.899761925408002594e-01
4.648733708020256518e-03,2.769202406500979596e-01,2.872761896249738101e-01
4.757236139187889269e-03,2.743225862367578149e-01,2.845814683849638427e-01
4.868271040122279167e-03,2.717301777734281720e-01,2.818921863777141823e-01
4.981897519205159656e-03,2.691431672682829124e-01,2.792085013641527613e-01
5.098176064420424994e-03,2.665617069045767562e-01,2.765305712856879206e-01
5.217168575554349298e-03,2.639859490176755807e-01,2.738585542403921824e-01
5.338938397147350266e-03,2.614160460717829815e-01,2.711926084588713870e-01
5.463550352214875498e-03,2.588521506363661850e-01,2.685328922798225215e-01
5.591070776755292966e-03,2.562944153622855326e-01,2.658795641252825748e-01
5.721567555063245686e-03,2.537429929576259791e-01,2.632327824755691381e-01
5.855110155867237695e-03,2.511980361632297765e-01,2.605927058439113653e-01
5.991769669310619169e-03,2.486596977279423304e-01,2.579594927507821711e-01
6.131618844795775139e-03,2.461281303835602674e-01,2.553333016979223435e-01
6.274732129711574694e-03,2.436034868194933700e-01,2.527142911420675597e-01
6.421185709064758558e-03,2.410859196571376872e-01,2.501026194683755866e-01
6.571057546036270826e-03,2.385755814239667039e-01,2.474984449635609929e-01
6.724427423484249239e-03,2.360726245273358503e-01,2.449019257887325440e-01
6.881376986415663373e-03,2.335772012280109278e-01,2.423132199519439922e-01
7.041989785449288310e-03,2.310894636134179503e-01,2.397324852804559314e-01
7.206351321293052656e-03,2.286095635706190399e-01,2.371598793927131577e-01
